config,range,cost,velocity,result
"*aMM0+++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,50,3",19.55153,7212.987,21.74374,Success
"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fNL0++*gLN0++^ab^ac^ad^ae^ef^dg,35,3",0.0,6117.93,0.0005827291,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^cf^eg,5,3",49.18926,6634.986,24.96658,Success
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN1*gLL3++++++++^ab^ac^ad^ae^bf^cf^dg^eg,10,3",0.0,3965.554,0.2849523,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL1++*hOM1++*iMO2++*jMK2++*kKM1++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,73,3",0.0,5861.552,14.45546,CouldNotStabilize
"*aMM0+++++*bNM0*cMN1++++++*dLM2++++++*eML1+++^ab^ac^ad^ae,5,3",0.0,5245.013,18.83153,CouldNotStabilize
"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^gb^fc,5,3",47.22129,7439.701,18.16408,Success
"*aMM0+++++*bNM3+++*cMN3+++*dLM3+++*eML3++*fOM4*gMO2+++*hKM1+++*iMK2+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,3642.516,12.90851,CouldNotStabilize
"*aMM0+++++*bNM4++*cMN4+++*dLM4+++*eML4+++*fOM3++++++++++*gMO3++++++++++*hKM3++++++++++*iMK3++++++++++*jPM1+++++*kMP2+++++*lJM4*mMJ2+++^ab^ac^ad^ae^bf^cg^dh^ei^fj^gk^hl^im,20,3",0.0,4143.252,7.599654,CouldNotStabilize
"*aMM0+++++++++++++*bNM3+++*cMN3+++*dLM3++*eML3++*fOM2*gMO1*hKM2*iMK1+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,6131.313,2.868066,CouldNotStabilize
"*aMM0*bNM2*cMN1*dLM0*eML0^ab^ac^ad^ae,26,0",0.0,4556.0,6.945729,CouldNotStabilize
