config,range,cost,velocity,result
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK1++++++++*eNJ0++++++++++++++++*fOK2----------------*gMK2----------------*hOL3++++++++++++++++*iOJ0++++++++++++++++^ab^bc^cd^de^df^dg^eh^hi,70,3",0.0,0.0,0.0,Timeout
"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fMO0*gOM0*hMK1++*iKM2+*jNL3-*kLN3-*lNK1*mOL2^ab^ac^ad^ae^cf^bg^hj^hk^gi^fh^il^im,26,0",0.0,0.0,0.0,Timeout
"*aMM0++++++++++*bNM2++*cMN1++*dLM2*eML1^ab^ac^ad^ae,20,2",-0.460299,4625.437,3.594462,CouldNotStabilize
"*aMM0++*bNM2++*cMN1++*dLM2+*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,10,0",0.02813357,2638.553,6.000844,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",0.9645517,1906.215,16.41107,Success
"*aMM0+*bNM2+++*cMN1++*dLM2+++*eML1+++*fLN3*gNL3*jLP4*iOL0++*hLO0^ab^ac^ad^ae^cf^bg^hj^gi^fh,26,0",-0.7686654,5867.259,4.500975,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg^cf^bg,2,3",15.29104,1906.215,10.97043,Success
"*aMM0*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,5,3",1.487579,2696.0,13.17981,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^gc,7,3",-0.001520225,1752.499,0.2014216,CouldNotStabilize
"*aMM0--*bNM2++++*cMN1+++++*dLM2+++++*eML1+++++*fLN0+++*gNL0+++*hOM1+++++*iMO2+++++*jMK2+++++*kKM1+++++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,53,3",4.681911,8121.638,195.3233,HitBoundary
"*aMM0++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-^ab^ac^ad^ae^df^ef^eg^bg,33,3",15.76182,5244.607,26.86081,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3+*gNL3+*hLN2*iLL3+^ab^ac^ad^ae^bf^eg^ch^di,5,3",-0.01688003,3802.21,20.19476,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3++*gNL3^ab^ac^ad^ae^df^eg,5,3",-2.595861e-05,3639.711,0.2347045,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3-^ab^ac^ad^ae^cf^bg,10,0",-0.005608153,1998.101,0.1547132,CouldNotStabilize
"*aMM0+++++*bNM3*cMN3*dLM3*eML3*fOM1*gMO2*hKM4*iMK0^ab^ac^ad^ae^bf^cg^dh^ei,5,3",-0.6449658,4546.353,2.618268,CouldNotStabilize
"*aMM0-*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,56,3",12.18422,5975.227,27.47856,Success
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN3*gLL3*iNL0*hLN0^ab^ac^ad^ae^cf^bf^eg^dg^ei^ib^dh^hc,20,3",4.315493,6183.6,13.84283,HitBoundary
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,56,3",12.06903,5983.786,27.01957,Success
"*aMM0+++++*bNM2+++++*cMN2+++++*dLM2+++++*eML1+++++*fOM3++*gMO3++++++++++++++++++++++++++++^ab^ac^ad^ae^bf^cg,5,3",-0.7670152,4517.844,10.9305,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^cf^eg,8,3",0.2754662,1831.877,8.278473,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^eg,20,3",-0.03871536,2088.348,0.0007587709,CouldNotStabilize
